REGION_NM,MON_YR,REGION,STATE,SECTOR,CATEGORY,FUEL,UTILITY,STATION,INST_CAP,PROGRAM_GENERATION,ACTUAL GENERATION
REG2,Apr-16,WESTERN,GUJARAT,PVT,THERMAL,NATURAL GAS,TOR. POW. (SUGEN),SUGEN CCPP,1147.5,226,406.5
REG5,Apr-16,NORTH EASTERN,MEGHALAYA,CENTRAL,HYDRO,HYDRO,NEEPCO.,KHONDONG  HPS.,50,4,8.91
REG2,Apr-16,WESTERN,MAHARASHTRA,STATE,THERMAL,COAL,MAHAGENCO,KORADI TPS,2360,511,71.11
REG5,Apr-16,NORTH EASTERN,MEGHALAYA,STATE,HYDRO,HYDRO,MeECL,KYRDEMKULAI  HPS.,60,6,9.84
REG5,Apr-16,NORTH EASTERN,MANIPUR,STATE,THERMAL,DIESEL,"ED, Manipur",LEIMAKHONG DG,36,0,0
REG3,Apr-16,SOUTHERN,TAMIL NADU,STATE,HYDRO,HYDRO,TNGDCL,LOWER METTUR  HPS.,120,5,3.79
REG1,Apr-16,NORTHERN,UTTARAKHAND,STATE,HYDRO,HYDRO,UJVNL,MANERI BHALI - II  HPS,304,74,59.43
REG2,Apr-16,WESTERN,MAHARASHTRA,STATE,HYDRO,HYDRO,MAHAGENCO,VAITARNA  HPS,60,25,14.78
REG2,Apr-16,WESTERN,MADHYA PRADESH,CENTRAL,THERMAL,COAL,NTPC Ltd.,VINDHYACHAL STPS,4760,2638,3112.13
REG1,Apr-16,NORTHERN,UTTAR PRADESH,STATE,THERMAL,COAL,UPRVUNL,ANPARA TPS,2630,928,1160.01
REG3,Apr-16,SOUTHERN,KERALA,STATE,HYDRO,HYDRO,KSEB,IDAMALAYAR  HPS.,75,34,26.51
REG4,Apr-16,EASTERN,BIHAR,CENTRAL,THERMAL,COAL,K.B.U.N.L,MUZAFFARPUR TPS,415,114,115.18
REG1,Apr-16,NORTHERN,PUNJAB,CENTRAL,HYDRO,HYDRO,BBMB,PONG H P S,396,10,47.35
REG3,Apr-16,SOUTHERN,KARNATAKA,STATE,THERMAL,COAL,KPCL,RAICHUR TPS,1720,992,1085.15
REG2,Apr-16,WESTERN,MADHYA PRADESH,STATE,HYDRO,HYDRO,MPPGCL,RAJGHAT  HPS,45,0,0
REG1,Apr-16,NORTHERN,UTTARAKHAND,STATE,HYDRO,HYDRO,UJVNL,RAMGANGA  HPS,198,17,6.64
REG1,Apr-16,NORTHERN,RAJASTHAN,STATE,THERMAL,NATURAL GAS,RRVUNL,RAMGARH CCPP,273.8,135,150.97
REG3,Apr-16,SOUTHERN,ANDHRA PRADESH,STATE,THERMAL,COAL,APGENCO,RAYALASEEMA TPS,1050,623,706.6
REG1,Apr-16,NORTHERN,UTTAR PRADESH,CENTRAL,THERMAL,COAL,NTPC Ltd.,RIHAND STPS,3000,1541,1901.51
REG4,Apr-16,EASTERN,ORISSA,STATE,HYDRO,HYDRO,OHPC,UPPER KOLAB  HPS.,320,72,79.89
REG3,Apr-16,SOUTHERN,ANDHRA PRADESH,STATE,HYDRO,HYDRO,APGENCO,UPPER SILERU  HPS,240,38,16.99
REG1,Apr-16,NORTHERN,HIMACHAL PRADESH,PVT,HYDRO,HYDRO,HSPCL,SORANG HPS,0,NA,0
REG1,Apr-16,NORTHERN,UTTARAKHAND,PVT,HYDRO,HYDRO,AHPC (GVK),SRINAGAR HPS,330,89,38.91
REG2,Apr-16,WESTERN,MADHYA PRADESH,STATE,THERMAL,COAL,MPPGCL,SHRI SINGHAJI TPP,1200,562,78.6
REG2,Apr-16,WESTERN,MADHYA PRADESH,PVT,THERMAL,COAL,SPL,SASAN UMTPP,3960,2700,2849.11
